food_name,diet_type,culture,meal_type,calories,protein,carbs,fat,medical_suitability,cost_per_100g,carbon_score,recommended_for,avoid_for,category,recipe
Chia Pudding Mild,Vegan,Asian,Dinner,291,8,33,10,general,35,1.2,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Biryani Deluxe,Vegan,Mediterranean,Dinner,459,15,59,7,heart,38,1.6,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Samosa with Gravy,Vegetarian,Western,Snack,201,4,23,8,thyroid,42,1.9,Balanced Iodine,Goitrogenic Foods,Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Korma,Non-Vegetarian,Indian,Dinner,422,32,17,31,heart,60,3.5,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mushroom Masala,Vegetarian,Indian,Snack,327,12,20,19,pcos,47,1.6,Anti-inflammatory,"High Sugar, Processed Foods",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Stuffed Paratha Mild,Vegetarian,Western,Breakfast,407,14,49,11,thyroid,34,1.5,Balanced Iodine,Goitrogenic Foods,Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Hummus with Veggies,Vegan,Western,Lunch,204,6,22,10,"general,diabetes",46,1.8,"Low GI, High Fiber, General Health","Excessive Processing, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sausages,Non-Vegetarian,Indian,Breakfast,317,26,7,22,diabetes,85,3.9,"Low GI, High Fiber","High Sugar, Refined Carbs",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Burrito Special,Vegan,Western,Breakfast,345,20,64,10,obesity,47,1.9,Weight Management,"High Calorie, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Pancakes Spicy,Vegan,Asian,Breakfast,337,11,47,7,"thyroid,obesity",32,1.9,"Balanced Iodine, Weight Management","High Calorie, Processed, Goitrogenic Foods",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Nuggets Dry,Non-Vegetarian,Mediterranean,Snack,321,18,20,13,heart,74,3.9,Heart Healthy,"High Saturated Fat, Sodium",Snack,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry with Gravy,Vegan,Western,Dinner,344,21,32,16,hypertension,46,1.3,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Scramble Mild,Vegan,Mediterranean,Dinner,307,15,19,18,hypertension,33,1.2,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Baingan Bharta Spicy,Vegetarian,Asian,Snack,313,8,31,17,"heart,pcos",36,2,"Anti-inflammatory, Heart Healthy","High Sugar, Processed Foods, High Saturated Fat, Sodium",Snack,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Paneer Butter Masala Dry,Vegetarian,Indian,Dinner,429,18,28,28,heart,52,2.6,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Oats Porridge Deluxe,Vegetarian,Mediterranean,Breakfast,307,12,60,8,"heart,hypertension",41,2.2,"Low Sodium, Heart Healthy","High Saturated Fat, Sodium, High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll Dry,Non-Vegetarian,Western,Lunch,227,15,31,8,thyroid,85,4.1,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Quinoa Bowl Spicy,Vegan,Asian,Dinner,287,15,54,7,ibs,40,1.5,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetable Sandwich Special,Vegetarian,Indian,Dinner,235,13,49,9,pcos,37,1.6,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chana Masala,Vegetarian,Asian,Lunch,362,14,54,7,diabetes,42,2.1,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Pasta,Vegan,Indian,Dinner,444,15,60,10,heart,46,1.1,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sausages with Gravy,Non-Vegetarian,Mediterranean,Snack,341,24,6,21,hypertension,78,4.8,Low Sodium,"High Sodium, Processed",Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Buddha Bowl with Gravy,Vegan,Indian,Dinner,348,14,47,10,pcos,35,1.2,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetarian Thali,Vegetarian,Indian,Dinner,419,17,66,16,heart,66,2.7,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare Vegetarian Thali 286 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Trail Mix Spicy,Vegan,Asian,Dinner,232,9,30,17,general,42,1.2,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mutton Rogan Josh Spicy,Non-Vegetarian,Asian,Dinner,507,36,15,29,ibs,60,3.9,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Palak Paneer Special,Vegetarian,Western,Lunch,390,21,25,21,obesity,68,1.6,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Upma Deluxe,Vegetarian,Indian,Breakfast,358,10,54,7,obesity,43,1.5,Weight Management,"High Calorie, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll Spicy,Non-Vegetarian,Indian,Snack,216,13,32,8,"obesity,hypertension",99,4.6,"Low Sodium, Weight Management","High Calorie, Processed, High Sodium, Processed",Snack,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Stir Fry Mild,Vegan,Western,Dinner,312,23,37,15,"heart,diabetes",35,1.1,"Low GI, High Fiber, Heart Healthy","High Saturated Fat, Sodium, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dosa with Chutney,Vegetarian,Indian,Breakfast,343,9,55,8,"ibs,general",45,2.9,"Low FODMAP, General Health","Excessive Processing, High FODMAP",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhel Puri,Vegetarian,Indian,Lunch,173,3,42,1,hypertension,34,2.4,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Keema Matar,Non-Vegetarian,Asian,Breakfast,390,29,20,27,"diabetes,ibs",47,3.2,"Low GI, High Fiber, Low FODMAP","High Sugar, Refined Carbs, High FODMAP",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Burrito,Vegan,Indian,Snack,486,18,62,12,pcos,36,1.7,Anti-inflammatory,"High Sugar, Processed Foods",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Malai Kofta Dry,Vegetarian,Western,Lunch,430,16,37,30,diabetes,47,2.1,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chole Bhature,Vegetarian,Asian,Lunch,619,16,84,18,"diabetes,pcos",34,2.8,"Anti-inflammatory, Low GI, High Fiber","High Sugar, Processed Foods, High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chickpea Curry Mild,Vegan,Western,Dinner,379,15,43,9,pcos,32,2,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Butter Chicken Deluxe,Non-Vegetarian,Western,Dinner,527,33,19,27,pcos,94,3.9,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll Dry,Non-Vegetarian,Indian,Lunch,259,16,34,10,"obesity,thyroid",84,4.1,"Balanced Iodine, Weight Management","High Calorie, Processed, Goitrogenic Foods",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sausages Special,Non-Vegetarian,Asian,Lunch,385,21,8,21,heart,90,4.1,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Energy Bar Dry,Vegan,Asian,Dinner,186,9,31,7,"ibs,general",46,1.2,"Low FODMAP, General Health","Excessive Processing, High FODMAP",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Trail Mix Special,Vegan,Western,Lunch,280,8,35,13,ibs,33,1.9,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Energy Bar,Vegan,Western,Lunch,227,7,31,6,"obesity,pcos",46,1.3,"Anti-inflammatory, Weight Management","High Calorie, Processed, High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Korma Spicy,Non-Vegetarian,Western,Lunch,430,30,17,32,ibs,92,4.9,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thai Curry,Vegan,Mediterranean,Lunch,308,15,48,16,pcos,45,1.5,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Pasta,Vegan,Mediterranean,Dinner,382,12,53,9,"thyroid,ibs",35,1.4,"Balanced Iodine, Low FODMAP","High FODMAP, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fruit Smoothie Bowl Mild,Vegan,Asian,Snack,301,7,50,5,"obesity,thyroid",44,1,"Balanced Iodine, Weight Management","High Calorie, Processed, Goitrogenic Foods",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Fillet Spicy,Non-Vegetarian,Indian,Lunch,282,31,13,18,thyroid,70,5,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetarian Thali,Vegetarian,Indian,Lunch,476,16,65,14,thyroid,57,1.9,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare Vegetarian Thali 147 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Keema Matar Spicy,Non-Vegetarian,Mediterranean,Dinner,359,30,23,19,diabetes,32,4.9,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhindi Masala,Vegetarian,Asian,Dinner,235,5,22,15,obesity,43,2.9,Weight Management,"High Calorie, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Mutton Rogan Josh Deluxe,Non-Vegetarian,Asian,Lunch,503,40,12,35,pcos,65,4.7,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Burrito Deluxe,Vegan,Mediterranean,Lunch,424,17,46,10,thyroid,34,1.6,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tandoori Chicken Special,Non-Vegetarian,Western,Dinner,442,38,7,19,diabetes,60,3.9,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Sandwich Mild,Non-Vegetarian,Indian,Dinner,450,25,30,12,general,90,4.1,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Gobi Mild,Vegetarian,Western,Dinner,321,6,26,13,"pcos,ibs",36,2.4,"Anti-inflammatory, Low FODMAP","High Sugar, Processed Foods, High FODMAP",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vada Pav Deluxe,Vegetarian,Asian,Breakfast,291,9,34,9,diabetes,39,1.8,"Low GI, High Fiber","High Sugar, Refined Carbs",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chia Pudding Spicy,Vegan,Asian,Snack,314,9,28,11,diabetes,44,1.1,"Low GI, High Fiber","High Sugar, Refined Carbs",Snack,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Roasted Chickpeas,Vegan,Indian,Dinner,158,8,25,4,"ibs,thyroid",40,1,"Balanced Iodine, Low FODMAP","Goitrogenic Foods, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Prawn Curry Spicy,Non-Vegetarian,Indian,Snack,392,31,14,21,pcos,76,3.2,Anti-inflammatory,"High Sugar, Processed Foods",Snack,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Spring Roll,Vegetarian,Western,Dinner,239,5,26,5,diabetes,34,2,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetarian Thali,Vegetarian,Indian,Lunch,441,17,63,13,hypertension,54,3.1,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare Vegetarian Thali 204 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Wings Mild,Non-Vegetarian,Asian,Breakfast,262,20,9,18,"heart,diabetes",65,3.4,"Low GI, High Fiber, Heart Healthy","High Saturated Fat, Sodium, High Sugar, Refined Carbs",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Wings Mild,Non-Vegetarian,Asian,Lunch,271,21,8,22,"thyroid,pcos",96,4,"Balanced Iodine, Anti-inflammatory","High Sugar, Processed Foods, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Buddha Bowl Deluxe,Vegan,Indian,Lunch,313,15,45,11,pcos,41,1.9,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thai Curry,Vegan,Mediterranean,Breakfast,393,13,48,17,"heart,hypertension",41,1.9,"Low Sodium, Heart Healthy","High Saturated Fat, Sodium, High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Stuffed Paratha with Gravy,Vegetarian,Mediterranean,Breakfast,322,12,62,10,pcos,34,2.8,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Curry,Non-Vegetarian,Mediterranean,Dinner,371,28,22,19,hypertension,91,3.1,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhel Puri Mild,Vegetarian,Asian,Snack,185,4,33,1,obesity,47,2.6,Weight Management,"High Calorie, Processed",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Spring Roll with Gravy,Non-Vegetarian,Indian,Lunch,238,16,30,11,"obesity,ibs",62,4,"Low FODMAP, Weight Management","High Calorie, Processed, High FODMAP",Main Meal,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhindi Masala Deluxe,Vegetarian,Mediterranean,Lunch,227,4,21,13,general,37,2.7,General Health,Excessive Processing,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Smoothie,Vegan,Mediterranean,Dinner,211,6,34,3,"thyroid,diabetes",36,1.7,"Balanced Iodine, Low GI, High Fiber","High Sugar, Refined Carbs, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Curry Deluxe,Non-Vegetarian,Mediterranean,Breakfast,415,34,25,20,pcos,69,3.2,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Fingers Spicy,Non-Vegetarian,Western,Lunch,268,17,27,11,diabetes,86,3.6,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Idli Sambar with Gravy,Vegetarian,Indian,Snack,285,12,55,4,thyroid,34,2.6,Balanced Iodine,Goitrogenic Foods,Snack,"Prepare in thick gravy with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Onion Pakora Mild,Vegetarian,Mediterranean,Snack,276,4,22,11,obesity,32,2.5,Weight Management,"High Calorie, Processed",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetarian Thali,Vegetarian,Indian,Lunch,409,17,61,16,heart,65,2.1,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare Vegetarian Thali 384 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chicken Korma Deluxe,Non-Vegetarian,Mediterranean,Dinner,437,30,23,29,"thyroid,general",60,3.7,"Balanced Iodine, General Health","Excessive Processing, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Trail Mix Spicy,Vegan,Indian,Breakfast,269,7,25,14,heart,42,1.3,Heart Healthy,"High Saturated Fat, Sodium",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Roasted Chickpeas Dry,Vegan,Mediterranean,Dinner,150,8,22,4,"general,diabetes",33,1.9,"Low GI, High Fiber, General Health","Excessive Processing, High Sugar, Refined Carbs",Main Meal,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegetarian Thali,Vegetarian,Indian,Lunch,437,16,68,14,diabetes,63,3.2,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare Vegetarian Thali 151 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Curry Mild,Non-Vegetarian,Asian,Dinner,336,25,19,17,thyroid,36,3,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chole Bhature Mild,Vegetarian,Western,Snack,489,20,77,22,"thyroid,ibs",40,2.5,"Balanced Iodine, Low FODMAP","High FODMAP, Goitrogenic Foods",Snack,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Egg Roll,Non-Vegetarian,Western,Lunch,269,13,32,11,thyroid,44,4.3,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Quinoa Bowl Spicy,Vegan,Western,Lunch,377,14,64,6,thyroid,41,1,Balanced Iodine,Goitrogenic Foods,Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Pancakes Mild,Vegan,Asian,Breakfast,260,9,46,9,"obesity,diabetes",42,2,"Low GI, High Fiber, Weight Management","High Calorie, Processed, High Sugar, Refined Carbs",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Fillet,Non-Vegetarian,Indian,Dinner,340,32,17,19,ibs,64,4.4,Low FODMAP,High FODMAP,Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Lentil Soup Dry,Vegan,Western,Snack,374,17,54,6,ibs,33,1.9,Low FODMAP,High FODMAP,Snack,"Prepare dry with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Aloo Gobi,Vegetarian,Asian,Dinner,284,5,30,12,"ibs,heart",41,2.6,"Low FODMAP, Heart Healthy","High Saturated Fat, Sodium, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Fillet,Non-Vegetarian,Mediterranean,Lunch,358,30,13,19,"hypertension,obesity",63,4.1,"Low Sodium, Weight Management","High Calorie, Processed, High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bacon and Eggs Spicy,Non-Vegetarian,Indian,Dinner,447,33,9,25,"thyroid,ibs",37,3.8,"Balanced Iodine, Low FODMAP","High FODMAP, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Energy Bar,Vegan,Western,Dinner,244,7,39,6,heart,38,1.1,Heart Healthy,"High Saturated Fat, Sodium",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Curry,Vegan,Indian,Lunch,393,24,27,17,diabetes,39,1.5,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Burrito Mild,Vegan,Asian,Dinner,398,21,49,13,hypertension,34,1.4,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Burrito Mild,Vegan,Indian,Breakfast,404,20,58,14,"general,diabetes",39,1.6,"Low GI, High Fiber, General Health","Excessive Processing, High Sugar, Refined Carbs",Breakfast,"Prepare using traditional methods with mild spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vada Pav Special,Vegetarian,Indian,Lunch,327,6,47,9,"pcos,ibs",33,1.6,"Anti-inflammatory, Low FODMAP","High Sugar, Processed Foods, High FODMAP",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Thali,Vegan,Indian,Dinner,420,15,63,11,general,56,2.1,General Health,Excessive Processing,Main Meal,"Prepare Vegan Thali 453 with assorted dishes using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Dosa with Chutney,Vegetarian,Western,Breakfast,385,10,53,8,ibs,35,1.7,Low FODMAP,High FODMAP,Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Energy Bar,Vegan,Mediterranean,Lunch,233,8,37,5,diabetes,45,1.2,"Low GI, High Fiber","High Sugar, Refined Carbs",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Malai Kofta Spicy,Vegetarian,Mediterranean,Breakfast,448,17,30,28,"hypertension,pcos",41,1.8,"Low Sodium, Anti-inflammatory","High Sugar, Processed Foods, High Sodium, Processed",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tandoori Chicken,Non-Vegetarian,Indian,Snack,386,33,7,22,"obesity,heart",76,3,"Heart Healthy, Weight Management","High Calorie, Processed, High Saturated Fat, Sodium",Snack,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Fish Curry Special,Non-Vegetarian,Asian,Lunch,339,23,16,18,pcos,88,4.9,Anti-inflammatory,"High Sugar, Processed Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Tofu Scramble Spicy,Vegan,Mediterranean,Breakfast,291,16,19,18,pcos,46,1.5,Anti-inflammatory,"High Sugar, Processed Foods",Breakfast,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Stuffed Paratha,Vegetarian,Asian,Breakfast,326,10,52,13,heart,45,2.6,Heart Healthy,"High Saturated Fat, Sodium",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Burrito,Vegan,Indian,Breakfast,464,16,61,11,hypertension,46,1.9,Low Sodium,"High Sodium, Processed",Breakfast,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Chia Pudding Special,Vegan,Indian,Lunch,337,11,39,11,"diabetes,hypertension",35,1.5,"Low Sodium, Low GI, High Fiber","High Sugar, Refined Carbs, High Sodium, Processed",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Bhindi Masala,Vegetarian,Mediterranean,Lunch,310,4,19,15,"thyroid,obesity",42,2.5,"Balanced Iodine, Weight Management","High Calorie, Processed, Goitrogenic Foods",Main Meal,"Prepare using traditional methods with balanced spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
Vegan Pasta Spicy,Vegan,Western,Dinner,345,13,73,10,hypertension,41,1.9,Low Sodium,"High Sodium, Processed",Main Meal,"Prepare using traditional methods with extra spices using minimal oil, moderate salt, and WHO/ICMR recommended cooking practices."
